Genome,Signature
11439_1#95,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
7712_6#19,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#52,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
SRR3049388,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#12,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#62,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#2,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#46,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:frmA:trg_3
11893_2#56,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#34,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#363,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#47,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#42,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
30073_1#170,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#323,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#45,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#215,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#30,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#23,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
5886_8#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#59,different contigs
7712_6#32,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#32,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#17,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
9471_8#12,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11893_2#64,group_543:yecS_1:frmA:trg_3
9471_8#4,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
11439_1#92,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_2748:frmR:frmA:trg_3
11893_2#60,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#203,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#125,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
30073_1#74,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
7712_6#33,group_543:yecS_1:artM_1:yecS_2:fliY_1:group_544:sseJ:group_2747:group_1829:frmR:frmA:trg_3
